,Labels,Tweets,HS_Label
4071,1,"When will people start saying, ‘thank you, Mr. President, for firing James Comey?’",0
4074,1,Our Justice Department must not let Awan & Debbie Wasserman Schultz off the hook. The Democrat I.T. scandal is a key to much of the corruption we see today. They want to make a ‘plea deal’ to hide what is on their Server. Where is Server? Really bad!,0
4075,1,"Why isn’t the European Union and Canada informing the public that for years they have used massive Trade Tariffs and non-monetary Trade Barriers against the U.S. Totally unfair to our farmers, workers & companies. Take down your tariffs & barriers or we will more than match you!",0
4076,1,"Looking forward to straightening out unfair Trade Deals with the G-7 countries. If it doesn’t happen, we come out even better!",0
4077,1,"Obama, Schumer and Pelosi did NOTHING about North Korea, and now weak on Crime, High Tax Schumer is telling me what to do at the Summit the Dems could never set up. Schumer failed with North Korea and Iran, we don’t need his advice!",1
4084,1,"Based on Justin’s false statements at his news conference, and the fact that Canada is charging massive Tariffs to our U.S. farmers, workers and companies, I have instructed our U.S. Reps not to endorse the Communique as we look at Tariffs on automobiles flooding the U.S. Market!",0
4085,1,"PM Justin Trudeau of Canada acted so meek and mild during our @G7 meetings only to give a news conference after I left saying that, “US Tariffs were kind of insulting” and he “will not be pushed around.” Very dishonest & weak. Our Tariffs are in response to his of 270% on dairy!",0
4087,1,....And add to that the fact that the U.S. pays close to the entire cost of NATO-protecting many of these same countries that rip us off on Trade (they pay only a fraction of the cost-and laugh!). The European Union had a $151 Billion Surplus-should pay much more for Military!,1
4088,1,"Fair Trade is now to be called Fool Trade if it is not Reciprocal. According to a Canada release, they make almost 100 Billion Dollars in Trade with U.S. (guess they were bragging and got caught!). Minimum is 17B. Tax Dairy from us at 270%. Then Justin acts hurt when called out!",0
4090,1,"Mark Sanford has been very unhelpful to me in my campaign to MAGA. He is MIA and nothing but trouble. He is better off in Argentina. I fully endorse Katie Arrington for Congress in SC, a state I love. She is tough on crime and will continue our fight to lower taxes. VOTE Katie!",1
4093,1,"Senator Claire McCaskill of the GREAT State of Missouri flew around in a luxurious private jet during her RV tour of the state. RV’s are not for her. People are really upset, so phony! Josh Hawley should win big, and has my full endorsement.",1
4095,1,"Congratulations to Corey Stewart for his great victory for Senator from Virginia. Now he runs against a total stiff, Tim Kaine, who is weak on crime and borders, and wants to raise your taxes through the roof. Don’t underestimate Corey, a major chance of winning!",1
4098,1,"Robert De Niro, a very Low IQ individual, has received too many shots to the head by real boxers in movies. I watched him last night and truly believe he may be ‘punch-drunk.’ I guess he doesn’t...",0
4101,1,"...realize the economy is the best it’s ever been with employment being at an all time high, and many companies pouring back into our country. Wake up Punchy!",0
4102,1,"My political representatives didn’t want me to get involved in the Mark Sanford primary thinking that Sanford would easily win - but with a few hours left I felt that Katie was such a good candidate, and Sanford was so bad, I had to give it a shot. Congrats to Katie Arrington!",0
4103,1,"Oil prices are too high, OPEC is at it again. Not good!",1
4104,1,"So funny to watch the Fake News, especially NBC and CNN. They are fighting hard to downplay the deal with North Korea. 500 days ago they would have ‘begged’ for this deal-looked like war would break out. Our Country’s biggest enemy is the Fake News so easily promulgated by fools!",1
4107,1,"The sleazy New York Democrats, and their now disgraced (and run out of town) A.G. Eric Schneiderman, are doing everything they can to sue me on a foundation that took in $18,800,000 and gave out to charity more money than it took in, $19,200,000. I won’t settle this case!...",0
4108,1,"....Schneiderman, who ran the Clinton campaign in New York, never had the guts to bring this ridiculous case, which lingered in their office for almost 2 years. Now he resigned his office in disgrace, and his disciples brought it when we would not settle.",0
4111,1,"Now that I am back from Singapore, where we had a great result with respect to North Korea, the thought process must sadly go back to the Witch Hunt, always remembering that there was No Collusion and No Obstruction of the fabricated No Crime.",1
4113,1,"So, the Democrats make up a phony crime, Collusion with the Russians, pay a fortune to make the crime sound real, illegally leak (Comey) classified information so that a Special Councel will be appointed, and then Collude to make this pile of garbage take on life in Fake News!",1
4118,1,"Wow, what a tough sentence for Paul Manafort, who has represented Ronald Reagan, Bob Dole and many other top political people and campaigns. Didn’t know Manafort was the head of the Mob. What about Comey and Crooked Hillary and all of the others? Very unfair!",0
4119,1,"The IG Report is a total disaster for Comey, his minions and sadly, the FBI. Comey will now officially go down as the worst leader, by far, in the history of the FBI. I did a great service to the people in firing him. Good Instincts. Christopher Wray will bring it proudly back!",0
4121,1,"I’ve had to beat 17 very talented people including the Bush Dynasty, then I had to beat the Clinton Dynasty, and now I have to beat a phony Witch Hunt and all of the dishonest people covered in the IG Report...and never forget the Fake News Media. It never ends!",1
4122,1,"The Democrats are forcing the breakup of families at the Border with their horrible and cruel legislative agenda. Any Immigration Bill MUST HAVE full funding for the Wall, end Catch & Release, Visa Lottery and Chain, and go to Merit Based Immigration. Go for it! WIN!",0
4124,1,"I have a great relationship with Angela Merkel of Germany, but the Fake News Media only shows the bad photos (implying anger) of negotiating an agreement - where I am asking for things that no other American President would ask for! https://t.co/Ib97nN5HZt",0
4126,1,"The Fake News Media said that I did not get along with other Leaders at the #G7Summit in Canada. They are once again, WRONG! https://t.co/I6eEKEZV6z",0
4128,1,"The IG Report totally destroys James Comey and all of his minions including the great lovers, Peter Strzok and Lisa Page, who started the disgraceful Witch Hunt against so many innocent people. It will go down as a dark and dangerous period in American History!",0
4129,1,"Democrats can fix their forced family breakup at the Border by working with Republicans on new legislation, for a change! This is why we need more Republicans elected in November. Democrats are good at only three things, High Taxes, High Crime and Obstruction. Sad!",0
4131,1,Washington Post employees want to go on strike because Bezos isn’t paying them enough. I think a really long strike would be a great idea. Employees would get more money and we would get rid of Fake News for an extended period of time! Is @WaPo a registered lobbyist?,1
4133,1,"WITCH HUNT! There was no Russian Collusion. Oh, I see, there was no Russian Collusion, so now they look for obstruction on the no Russian Collusion. The phony Russian Collusion was a made up Hoax. Too bad they didn’t look at Crooked Hillary like this. Double Standard!",0
4137,1,"Funny how the Fake News, in a coordinated effort with each other, likes to say I gave sooo much to North Korea because I ‘met.’ That’s because that’s all they have to disparage! We got so much for peace in the world, & more is being added in finals. Even got our hostages/remains!",0
4138,1,"Children are being used by some of the worst criminals on earth as a means to enter our country. Has anyone been looking at the Crime taking place south of the border. It is historic, with some countries the most dangerous places in the world. Not going to happen in the U.S.",1
4139,1,The people of Germany are turning against their leadership as migration is rocking the already tenuous Berlin coalition. Crime in Germany is way up. Big mistake made all over Europe in allowing millions of people in who have so strongly and violently changed their culture!,0
4140,1,"Why was the FBI’s sick loser, Peter Strzok, working on the totally discredited Mueller team of 13 Angry & Conflicted Democrats, when Strzok was giving Crooked Hillary a free pass yet telling his lover, lawyer Lisa Page, that ‘we’ll stop’ Trump from becoming President? Witch Hunt!",1
4142,1,Comey gave Strozk his marching orders. Mueller is Comey’s best friend. Witch Hunt!,0
4143,1,"Why don’t the Democrats give us the votes to fix the world’s worst immigration laws? Where is the outcry for the killings and crime being caused by gangs and thugs, including MS-13, coming into our country illegally?",1
4144,1,"‘The highest level of bias I’ve ever witnessed in any law enforcement officer.’ Trey Gowdy on the FBI’s own, Peter Strzok. Also remember that they all worked for Slippery James Comey and that Comey is best friends with Robert Mueller. A really sick deal, isn’t it?",0
4150,1,"If President Obama (who got nowhere with North Korea and would have had to go to war with many millions of people being killed) had gotten along with North Korea and made the initial steps toward a deal that I have, the Fake News would have named him a national hero!",0
4151,1,It is the Democrats fault for being weak and ineffective with Boarder Security and Crime. Tell them to start thinking about the people devastated by Crime coming from illegal immigration. Change the laws!,1
4152,1,"Why was the FBI giving so much information to the Fake News Media. They are not supposed to be doing that, and knowing the enemy of the people Fake News, they put their own spin on it - truth doesn’t matter to them!",1
4156,1,"Democrats are the problem. They don’t care about crime and want illegal immigrants, no matter how bad they may be, to pour into and infest our Country, like MS-13. They can’t win on their terrible policies, so they view them as potential voters!",1
4157,1,"#CHANGETHELAWS Now is the best opportunity ever for Congress to change the ridiculous and obsolete laws on immigration. Get it done, always keeping in mind that we must have strong border security.",1
4158,1,I can’t think of something more concerning than a law enforcement officer suggesting that their going to use their powers to affect an election!’ Inspector General Horowitz on what was going on with numerous people regarding my election. A Rigged Witch Hunt!p,0
4160,1,"They don’t care about crime and want illegal immigrants, no matter how bad they may be, to pour into and infest our Country, like MS-13",1
4161,1,Had a great meeting with the House GOP last night at the Capitol. They applauded and laughed loudly when I mentioned my experience with Mark Sanford. I have never been a fan of his!,0
4162,1,Look what Fake ABC News put out. I guess they had it prepared from the 13 Angry Democrats leading the Witch Hunt! #StopTheBias https://t.co/c0XOk1btEQ,0
4164,1,"‘FBI texts have revealed anti-Trump Bias.’ @FoxNews Big News, but the Fake News doesn’t want to cover. Total corruption - the Witch Hunt has turned out to be a scam! At some point soon the Mainstream Media will have to cover correctly, too big a story!",0
4167,1,"It’s the Democrats fault, they won’t give us the votes needed to pass good immigration legislation. They want open borders, which breeds horrible crime. Republicans want security. But I am working on something - it never ends!",1
4168,1,"The Fake News is not mentioning the safety and security of our Country when talking about illegal immigration. Our immigration laws are the weakest and worst anywhere in the world, and the Dems will do anything not to change them & to obstruct-want open borders which means crime!",1
4171,1,"The Border has been a big mess and problem for many years. At some point Schumer and Pelosi, who are weak on Crime and Border security, will be forced to do a real deal, so easy, that solves this long time problem. Schumer used to want Border security - now he’ll take Crime!",1
4174,1,"Democrats want open Borders, where anyone can come into our Country, and stay. This is Nancy Pelosi’s dream. It won’t happen!",1
4175,1,"You cannot pass legislation on immigration whether it be for safety and security or any other reason including ‘heart,’ without getting Dem votes. Problem is, they don’t care about security and R’s do. Zero Dems voted to support the Goodlatte Bill. They won’t vote for anything!",1
4177,1,"Elect more Republicans in November and we will pass the finest, fairest and most comprehensive Immigration Bills anywhere in the world. Right now we have the dumbest and the worst. Dems are doing nothing but Obstructing. Remember their motto, RESIST! Ours is PRODUCE!",1
4178,1,"80% of Mexico’s Exports come to the United States. They totally rely on us, which is fine with me. They do have, though, very strong Immigration Laws. The U.S. has pathetically weak and ineffective Immigration Laws that the Democrats refuse to help us fix. Will speak to Mexico!",1
4179,1,"Even if we get 100% Republican votes in the Senate, we need 10 Democrat votes to get a much needed Immigration Bill - & the Dems are Obstructionists who won’t give votes for political reasons & because they don’t care about Crime coming from Border! So we need to elect more R’s!",1
4182,1,"Republicans should stop wasting their time on Immigration until after we elect more Senators and Congressmen/women in November. Dems are just playing games, have no intention of doing anything to solves this decades old problem. We can pass great legislation after the Red Wave!",1
4184,1,".@VP Pence is heading to Pittsburgh, Pennsylvania where we have both strongly endorsed one of the finest men around, Congressman Keith @RothfusForPA. He is running against #LambTheSham, who is telling...",0
4185,1,"...everyone how much he likes me, but he will only vote with Nancy Pelosi. Keith is strong on borders and tough on crime â€” and loves cutting taxes! #MAGA",1
4186,1,"It’s very sad that Nancy Pelosi and her sidekick, Cryin’ Chuck Schumer, want to protect illegal immigrants far more than the citizens of our country. The United States cannot stand for this. We wants safety and security at our borders!",1
4187,1,".@FoxNews Poll numbers plummet on the Democrat inspired and paid for Russian Witch Hunt. With all of the bias, lying and hate by the investigators, people want the investigators investigated. Much more will come out. A total scam and excuse for the Dems losing the Election!",0
4189,1,The Russian Witch Hunt is Rigged!,0
4193,1,"Drudge Report ‘OBAMA KEPT THEM IN CAGES, WRAPPED THEM IN FOIL’ We do a much better job while at the same time maintaining a MUCH stronger Border! Mainstream Fake Media hates this story.",0
4194,1,"We cannot allow all of these people to invade our Country. When somebody comes in, we must immediately, with no Judges or Court Cases, bring them back from where they came. Our system is a mockery to good immigration policy and Law and Order. Most children come without parents...",1
4195,1,"....Our Immigration policy, laughed at all over the world, is very unfair to all of those people who have gone through the system legally and are waiting on line for years! Immigration must be based on merit - we need people who will help to Make America Great Again!",1
4197,1,"Major Wall Street Journal opinion piece today talking about the Russian Witch Hunt and the disgrace that it is. So many people hurt, so bad for our country - a total sham!
 https://t.co/bcpSGtoX6a",0
4200,1,"Surprised that Harley-Davidson, of all companies, would be the first to wave the White Flag. I fought hard for them and ultimately they will not pay tariffs selling into the E.U., which has hurt us badly on trade, down $151 Billion. Taxes just a Harley excuse - be patient! #MAGA",1
4201,1,"Congresswoman Maxine Waters, an extraordinarily low IQ person, has become, together with Nancy Pelosi, the Face of the Democrat Party. She has just called for harm to supporters, of which there are many, of the Make America Great Again movement. Be careful what you wish for Max!",0
4202,1,"The Red Hen Restaurant should focus more on cleaning its filthy canopies, doors and windows (badly needs a paint job) rather than refusing to serve a fine person like Sarah Huckabee Sanders. I always had a rule, if a restaurant is dirty on the outside, it is dirty on the inside!",1
4205,1,".@jimmyfallon is now whimpering to all that he did the famous ‘hair show’ with me (where he seriously messed up my hair), & that he would have now done it differently because it is said to have ‘humanized’ me-he is taking heat. He called & said ‘monster ratings.’ Be a man Jimmy!",0
4207,1,"The hearing of Peter Strzok and the other hating frauds at the FBI & DOJ should be shown to the public on live television, not a closed door hearing that nobody will see. We should expose these people for what they are - there should be total transparency!",1
4208,1,"Why is Senator Mark Warner (D-VA), perhaps in a near drunken state, claiming he has information that only he and Bob Mueller, the leader of the 13 Angry Democrats on a Witch Hunt, knows? Isn’t this highly illegal. Is it being investigated?",0
4209,1,"Hiring manythousands of judges, and going through a long and complicated legal process, is not the way to go - will always be disfunctional. People must simply be stopped at the Border and told they cannot come into the U.S. illegally. Children brought back to their country......",1
4211,1,"I have tried to stay uninvolved with the Department of Justice and FBI (although I do not legally have to), because of the now totally discredited and very expensive Witch Hunt currently going on. But you do have to ask why the DOJ & FBI aren’t giving over requested documents?",0
4213,1,"House Republicans could easily pass a Bill on Strong Border Security but remember, it still has to pass in the Senate, and for that we need 10 Democrat votes, and all they do is RESIST. They want Open Borders and don’t care about Crime! Need more Republicans to WIN in November!",1
4215,1,"Such a difference in the media coverage of the same immigration policies between the Obama Administration and ours. Actually, we have done a far better job in that our facilities are cleaner and better run than were the facilities under Obama. Fake News is working overtime!",0
4216,1,"A Harley-Davidson should never be built in another country-never! Their employees and customers are already very angry at them. If they move, watch, it will be the beginning of the end - they surrendered, they quit! The Aura will be gone and they will be taxed like never before!",1
4219,1,"The face of the Democrats is now Maxine Waters who, together with Nancy Pelosi, have established a fine leadership team. They should always stay together and lead the Democrats, who want Open Borders and Unlimited Crime, well into the future....and pick Crooked Hillary for Pres.",1
4221,1,"Wow! Big Trump Hater Congressman Joe Crowley, who many expected was going to take Nancy Pelosi’s place, just LOST his primary election. In other words, he’s out! That is a big one that nobody saw happening. Perhaps he should have been nicer, and more respectful, to his President!",0
4223,1,"Congratulations to Maxine Waters, whose crazy rants have made her, together with Nancy Pelosi, the unhinged FACE of the Democrat Party. Together, they will Make America Weak Again! But have no fear, America is now stronger than ever before, and I’m not going anywhere!",0
4227,1,"Peter Strzok worked as the leader of the Rigged Witch Hunt for a long period of time - he got it started and was only fired because the gig was up. But remember, he took his orders from Comey and McCabe and they took their orders from you know who. Mueller/Comey best friends!",0
4228,1,"Lover FBI Agent Peter Strzok was given poor marks on yesterday’s closed door testimony and, according to most reports, refused to answer many questions. There was no Collusion and the Witch Hunt, headed by 13 Angry Democrats and others who are totally conflicted, is Rigged!",0
4229,1,"When is Bob Mueller going to list his Conflicts of Interest? Why has it taken so long? Will they be listed at the top of his $22,000,000 Report...And what about the 13 Angry Democrats, will they list their conflicts with Crooked H? How many people will be sent to jail and......",0
4231,1,"....persecuted on old and/or totally unrelated charges (there was no collusion and there was no obstruction of the no collusion)...And what is going on in the FBI & DOJ with Crooked Hillary, the DNC and all of the lies? A disgraceful situation!",0
4236,1,"Either we need to elect more Republicans in November or Republicans must end the ridiculous 60 vote, or Filibuster, rule - or better yet, do both. Cryin’ Chuck would do it on day one, but we’ll never give him the chance. Some great legislation awaits - be smart!",1
4238,1,"The Liberal Left, also known as the Democrats, want to get rid of ICE, who do a fantastic job, and want Open Borders. Crime would be rampant and uncontrollable! Make America Great Again",1
4239,1,Wow! The NSA has deleted 685 million phone calls and text messages. Privacy violations? They blame technical irregularities. Such a disgrace. The Witch Hunt continues!,0
4240,1,"Crazy Maxine Waters, said by some to be one of the most corrupt people in politics, is rapidly becoming, together with Nancy Pelosi, the FACE of the Democrat Party. Her ranting and raving, even referring to herself as a wounded animal, will make people flee the Democrats!",0
4242,1,"The Washington Post is constantly quoting ‘anonymous sources’ that do not exist. Rarely do they use the name of anyone because there is no one to give them the kind of negative quote that they are looking for. They are a disgrace to journalism but then again, so are many others!",0
4246,1,"Many Democrats are deeply concerned about the fact that their ‘leadership’ wants to denounce and abandon the great men and women of ICE, thereby declaring war on Law & Order. These people will be voting for Republicans in November and, in many cases, joining the Republican Party!",0
4247,1,"After having written many best selling books, and somewhat priding myself on my ability to write, it should be noted that the Fake News constantly likes to pore over my tweets looking for a mistake. I capitalize certain words only for emphasis, not b/c they should be capitalized!",0
4249,1,"Congress must pass smart, fast and reasonable Immigration Laws now. Law Enforcement at the Border is doing a great job, but the laws they are forced to work with are insane. When people, with or without children, enter our Country, they must be told to leave without our........",1
4250,1,Congress - FIX OUR INSANE IMMIGRATION LAWS NOW!,1
4251,1,"Just won lawsuit filed by the DNC and a bunch of Democrat crazies trying to claim the Trump Campaign (and others), colluded with Russia. They haven’t figured out that this was an excuse for them losing the election!",0
4252,1,"Public opinion has turned strongly against the Rigged Witch Hunt and the ‘Special’ Counsel because the public understands that there was no Collusion with Russia (so ridiculous), that the two FBI lovers were a fraud against our Nation & that the only Collusion was with the Dems!",0
4253,1,"The Rigged Witch Hunt, originally headed by FBI lover boy Peter S (for one year) & now, 13 Angry Democrats, should look into the missing DNC Server, Crooked Hillary’s illegally deleted Emails, the Pakistani Fraudster, Uranium One, Podesta & so much more. It’s a Democrat Con Job!",0
4256,1,"Twitter is getting rid of fake accounts at a record pace. Will that include the Failing New York Times and propaganda machine for Amazon, the Washington Post, who constantly quote anonymous sources that, in my opinion, don’t exist - They will both be out of business in 7 years!",0
4265,1,"Pfizer & others should be ashamed that they have raised drug prices for no reason. They are merely taking advantage of the poor & others unable to defend themselves, while at the same time giving bargain basement prices to other countries in Europe & elsewhere. We will respond!",1
4267,1,The failing NY Times Fake News story today about breast feeding must be called out. The U.S. strongly supports breast feeding but we don’t believe women should be denied access to formula. Many women need this option because of malnutrition and poverty.,0
4268,1,"NATO countries must pay MORE, the United States must pay LESS. Very Unfair!",1
4270,1,"I am on Air Force One flying to NATO and hear reports that the FBI lovers, Peter Strzok and Lisa Page are getting cold feet on testifying about the Rigged Witch Hunt headed by 13 Angry Democrats and people that worked for Obama for 8 years. Total disgrace!",0
4275,1,"The European Union makes it impossible for our farmers and workers and companies to do business in Europe (U.S. has a $151 Billion trade deficit), and then they want us to happily defend them through NATO, and nicely pay for it. Just doesn’t work!",0
4278,1,"Billions of additional dollars are being spent by NATO countries since my visit last year, at my request, but it isn’t nearly enough. U.S. spends too much. Europe’s borders are BAD! Pipeline dollars to Russia are not acceptable!",0
4279,1,"How can the Rigged Witch Hunt proceed when it was started, influenced and worked on, for an extended period of time, by former FBI Agent/Lover Peter Strzok? Read his hate filled and totally biased Emails and the answer is clear!",0
4280,1,"Ex-FBI LAYER Lisa Page today defied a House of Representatives issued Subpoena to testify before Congress! Wow, but is anybody really surprised! Together with her lover, FBI Agent Peter Strzok, she worked on the Rigged Witch Hunt, perhaps the most tainted and corrupt case EVER!",0
4283,1,"As I head out to a very important NATO meeting, I see that FBI Lover/Agent Lisa Page is dodging a Subpoena & is refusing to show up and testify. What can she possibly say about her statements and lies. So much corruption on the other side. Where is the Attorney General? @FoxNews",0
4287,1,"....Remember, it was Little Jeff Z and his people, who are told exactly what to say, who said I could not win the election in that ‘there was no way to 270’ (over & over again) in the Electoral College. I got 306! They were sooooo wrong in their election coverage. Still hurting!",0
4288,1,"The Stock Market hit 25,000 yesterday. Jobs are at an all time record - and that is before we fix some of the worst trade deals and conditions ever seen by any government. It is all happening!",0
4289,1,"These Russian individuals did their work during the Obama years. Why didn’t Obama do something about it? Because he thought Crooked Hillary Clinton would win, that’s why. Had nothing to do with the Trump Administration, but Fake News doesn’t want to report the truth, as usual!",0
4290,1,"....Where is the DNC Server, and why didn’t the FBI take possession of it? Deep State?",1
4291,1,"So funny! I just checked out Fake News CNN, for the first time in a long time (they are dying in the ratings), to see if they covered my takedown yesterday of Jim Acosta (actually a nice guy). They didn’t! But they did say I already lost in my meeting with Putin. Fake News......",0
4296,1,"...know how to do is resist and obstruct! This is why there is such hatred and dissension in our country â€“ but at some point, it will heal!",0
4297,1,"There hasn’t been a missile or rocket fired in 9 months in North Korea, there have been no nuclear tests and we got back our hostages. Who knows how it will all turn out in the end, but why isn’t the Fake News talking about these wonderful facts? Because it is FAKE NEWS!",0
4299,1,"...over the years, I would return to criticism that it wasn’t good enough â€“ that I should have gotten Saint Petersburg in addition! Much of our news media is indeed the enemy of the people and all the Dems...",1
4300,1,"Our relationship with Russia has NEVER been worse thanks to many years of U.S. foolishness and stupidity and now, the Rigged Witch Hunt!",0
4301,1,"President Obama thought that Crooked Hillary was going to win the election, so when he was informed by the FBI about Russian Meddling, he said it couldn’t happen, was no big deal, & did NOTHING about it. When I won it became a big deal and the Rigged Witch Hunt headed by Strzok!",0
4304,1,"I had a great meeting with NATO. They have paid $33 Billion more and will pay hundreds of Billions of Dollars more in the future, only because of me. NATO was weak, but now it is strong again (bad for Russia). The media only says I was rude to leaders, never mentions the money!",0
4305,1,"While I had a great meeting with NATO, raising vast amounts of money, I had an even better meeting with Vladimir Putin of Russia. Sadly, it is not being reported that way - the Fake News is going Crazy!",0
4307,1,"The meeting between President Putin and myself was a great success, except in the Fake News Media!",0
4308,1,"A total disgrace that Turkey will not release a respected U.S. Pastor, Andrew Brunson, from prison. He has been held hostage far too long. @RT_Erdogan should do something to free this wonderful Christian husband & father. He has done nothing wrong, and his family needs him!",0
4309,1,"I told you so! The European Union just slapped a Five Billion Dollar fine on one of our great companies, Google. They truly have taken advantage of the U.S., but not for long!",0
4310,1,"The Fake News Media is going Crazy! They make up stories without any backup, sources or proof. Many of the stories written about me, and the good people surrounding me, are total fiction. Problem is, when you complain you just give them more publicity. But I’ll complain anyway!",0
4313,1,"The Fake News Media wants so badly to see a major confrontation with Russia, even a confrontation that could lead to war. They are pushing so recklessly hard and hate the fact that I’ll probably have a good relationship with Putin. We are doing MUCH better than any other country!",0
4315,1,"The Summit with Russia was a great success, except with the real enemy of the people, the Fake News Media. I look forward to our second meeting so that we can start implementing some of the many things discussed, including stopping terrorism, security for Israel, nuclear........",0
4317,1,Farmers have been on a downward trend for 15 years. The price of soybeans has fallen 50% since 5 years before the Election. A big reason is bad (terrible) Trade Deals with other countries. They put on massive Tariffs and Barriers. Canada charges 275% on Dairy. Farmers will WIN!,0
4318,1,"The NFL National Anthem Debate is alive and well again - can’t believe it! Isn’t it in contract that players must stand at attention, hand on heart? The $40,000,000 Commissioner must now make a stand. First time kneeling, out for game. Second time kneeling, out for season/no pay!",0
4319,1,"I got severely criticized by the Fake News Media for being too nice to President Putin. In the Old Days they would call it Diplomacy. If I was loud & vicious, I would have been criticized for being too tough. Remember when they said I was too tough with Chairman Kim? Hypocrites!",0
4320,1,"Troy Balderson of Ohio is running for Congress against a Nancy Pelosi Liberal who is WEAK on Crime & Borders. Troy is the total opposite, and loves our Military, Vets & 2nd Amendment. EARLY VOTING just started with Election Day on August 7th. Troy has my Full & Total Endorsement!",0
4322,1,Inconceivable that the government would break into a lawyer’s office (early in the morning) - almost unheard of. Even more inconceivable that a lawyer would tape a client - totally unheard of & perhaps illegal. The good news is that your favorite President did nothing wrong!,0
4323,1,"The Rigged Witch Hunt, headed by the 13 Angry Democrats (and now 4 more have been added, one who worked directly for Obama W.H.), seems intent on damaging the Republican Party’s chances in the November Election. This Democrat excuse for losing the â€˜16 Election never ends!",0
4325,1,"No Collusion, No Obstruction - but that doesn’t matter because the 13 Angry Democrats, who are only after Republicans and totally protecting Democrats, want this Witch Hunt to drag out to the November Election. Republicans better get smart fast and expose what they are doing!",0
4330,1,"Andrew McCarthy - ‘I said this could never happen. This is so bad that they should be looking at the judges who signed off on this stuff, not just the people who gave it. It is so bad it screams out at you.’ On the whole FISA scam which led to the rigged Mueller Witch Hunt!",1
4331,1,Looking more & more like the Trump Campaign for President was illegally being spied upon (surveillance) for the political gain of Crooked Hillary Clinton and the DNC. Ask her how that worked out - she did better with Crazy Bernie. Republicans must get tough now. An illegal Scam!,1
4333,1,"So President Obama knew about Russia before the Election. Why didn’t he do something about it? Why didn’t he tell our campaign? Because it is all a big hoax, that’s why, and he thought Crooked Hillary was going to win!!!",1
4337,1,".....’Carter Page wasn’t a spy, wasn’t an agent of the Russians - he would have cooperated with the FBI. It was a fraud and a hoax designed to target Trump.’ Tom Fitton @JudicialWatch A disgrace to America. They should drop the discredited Mueller Witch Hunt now!",0
4338,1,"So we now find out that it was indeed the unverified and Fake Dirty Dossier, that was paid for by Crooked Hillary Clinton and the DNC, that was knowingly & falsely submitted to FISA and which was responsible for starting the totally conflicted and discredited Mueller Witch Hunt!",1
4339,1,‘It was classified to cover up misconduct by the FBI and the Justice Department in misleading the Court by using this Dossier in a dishonest way to gain a warrant to target the Trump Team. This is a Clinton Campaign document. It was a fraud and a hoax designed to target Trump....,0
4341,1,"The Amazon Washington Post has gone crazy against me ever since they lost the Internet Tax Case in the U.S. Supreme Court two months ago. Next up is the U.S. Post Office which they use, at a fraction of real cost, as their ‘delivery boy’ for a BIG percentage of their packages....",0
4343,1,....In my opinion the Washington Post is nothing more than an expensive (the paper loses a fortune) lobbyist for Amazon. Is it used as protection against antitrust claims which many feel should be brought?,0
4347,1,"When you hear the Fake News talking negatively about my meeting with President Putin, and all that I gave up, remember, I gave up NOTHING, we merely talked about future benefits for both countries. Also, we got along very well, which is a good thing, except for the Corrupt Media!",0
4349,1,"A Rocket has not been launched by North Korea in 9 months. Likewise, no Nuclear Tests. Japan is happy, all of Asia is happy. But the Fake News is saying, without ever asking me (always anonymous sources), that I am angry because it is not going fast enough. Wrong, very happy!",0
4352,1,"Lou Barletta was one of my first supporters. He is tough on Crime and Borders. Will be a great Senator from Pennsylvania. His opponent is WEAK on Crime, ICE and Borders. We need Lou! https://t.co/dcMSi4CPfb",1
4353,1,"Congratulations to Brian Kemp on your very big win in Georgia last night. Wow, 69-30, those are big numbers. Now go win against the open border, crime loving opponent that the Democrats have given you. She is weak on Vets, the Military and the 2nd Amendment. Win!",1
4355,1,"So sad and unfair that the FCC wouldn’t approve the Sinclair Broadcast merger with Tribune. This would have been a great and much needed Conservative voice for and of the People. Liberal Fake News NBC and Comcast gets approved, much bigger, but not Sinclair. Disgraceful!",0
4357,1,"What kind of a lawyer would tape a client? So sad! Is this a first, never heard of it before? Why was the tape so abruptly terminated (cut) while I was presumably saying positive things? I hear there are other clients and many reporters that are taped - can this be so? Too bad!",0
4359,1,"China is targeting our farmers, who they know I love & respect, as a way of getting me to continue allowing them to take advantage of the U.S. They are being vicious in what will be their failed attempt. We were being nice - until now! China made $517 Billion on us last year.",0
4361,1,"‘The Russia Hoax, The Illicit Scheme To Clear Hillary Clinton & Frame Donald Trump’ is a Hot Seller, already Number One! More importantly, it is a great book that everyone is talking about. It covers the Rigged Witch Hunt brilliantly. Congratulations to Gregg Jarrett!",0
4363,1,Twitter ‘SHADOW BANNING’ prominent Republicans. Not good. We will look into this discriminatory and illegal practice at once! Many complaints.,0
4365,1,".@AlanDersh, a brilliant lawyer, who although a Liberal Democrat who probably didn’t vote for me, has discussed the Witch Hunt with great clarity and in a very positive way. He has written a new and very important book...",0
4366,1,".....I did NOT know of the meeting with my son, Don jr. Sounds to me like someone is trying to make up stories in order to get himself out of an unrelated jam (Taxi cabs maybe?). He even retained Bill and Crooked Hillary’s lawyer. Gee, I wonder if they helped him make the choice!",0
4368,1,"....,the only Collusion with Russia was with the Democrats, so now they are looking at my Tweets (along with 53 million other people) - the rigged Witch Hunt continues! How stupid and unfair to our Country....And so the Fake News doesn’t waste my time with dumb questions, NO,....",0
